TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
ARN,,"Ahmed,N",199,17,7,26.2,33.2,39.3,1.8,3,+4,10,23,9,23.4,32.4,30.1,0.5,0,+4,10,*4/- (20-6),B,15,D,D,1,,,,,120,,,,ss-1e20
ARN,,"Calhoun,K*",190,44,0,17.8,23.8,51.8,9.9,8,0,23,17,23,12.6,41.6,40.1,8,8*,0,17,7/11 (13-5),D,12,D,C,1,,,,,,,,203,rf-2(-3)e3
ARN,,"Cron,K",17,42,9,0,31,0,0,w*,0,0,51,0,0,22,0,0,w*,0,0,-/- (---),E,9,D,D,1,,424,,,,,,,1b-4e24
ARN,,"Escobar,E+",203,2,0,17.3,19.3,32.6,3.5,w,-7,20,23,3,16.2,21.1,24.7,0.5,0,-10,19,2/- (20-6),D,12,D,C,1,,,405,328,,,,,3b-3e28 2b-4e5
ARN,,"Jay,J*",50,8,0,0,4,0,0,w*,0,0,26,4,9.1,17.1,10.9,0.6,1,-6,0,-/- (---),E,13,B,C,1,,,,,,304,304,304,cf-3(+1)e4 rf-3e4 lf-3e4
ARN,,"Kelly,C",122,23,4,13.3,19.3,23,3.3,5,+8,24,24,0,15.4,17.5,29.6,2.8,4,+8,25,-/- (---),E,10,D,C,2,305,,,,,,,,"c-3(0)e5,T-7(pb-3)"
ARN,,"Locastro,T",69,20,14,24.3,49.3,37.8,0.4,0,+3,0,0,9,24.7,44.7,38.6,3.2,6,+4,0,*6/- (20-13),A,17,D,C,1,,,,,,209,309,209,cf-3(+2)e9 lf-2e9 rf-2e9
ARN,,"Marte,K+",181,0,0,49,54,78.8,0.4,0,+8,6,0,0,21.4,26.4,32,1.6,w,+8,6,2/- (20-6),D,15,D,B,2,,,204,,388,,302,,2b-2e4 cf-3(-1)e2 ss-3e88
ARN,,"Mathisen,W",27,31,26,17.1,50.1,44.8,9.3,8,-5,0,56,20,3.3,30.3,13.1,3.3,5*,0,0,-/- (---),E,10,D,D,1,,,,447,,,,,3b-4e47
ARN,,"Peralta,D*",203,22,5,26.1,31.1,27.9,0.6,1,+12,16,20,3,34.1,37.1,45.6,1,1,+13,16,2/- (20-6),E,13,D,C,1,,,,,,302,,,lf-3(-2)e2
ARN,,"Rojas,J*",61,33,7,20.6,27.6,20.6,0,w,-8,11,20,18,0.5,18.4,0.5,0,w,0,9,"*2-6,11,12/8 (15-7)",C,13,D,C,2,,,406,,407,402,,,2b-4e6 ss-4e7 lf-4(+1)e2
ARN,,"Smith,P*",37,3,0,26.5,26.5,26.5,0,w,-9,0,18,21,24.1,45.1,39.7,1.6,2,-7,0,*3/- (20-6),C,12,D,C,1,,414,,,,404,,404,1b-4e14 lf-4(+1)e4 rf-4e4
ARN,,"Vanmeter,J*",70,49,7,0,13,0,0,w*,0,0,38,9,4.8,19.8,13.4,1.9,2*,0,0,*3/- (20-6),C,13,D,D,1,,420,312,465,,,,,2b-3e12 3b-4e65 1b-4e20
ARN,,"Varsho,D*",101,43,0,4,7.9,5.7,0,w,-1,6,34,20,12.8,36.8,35.2,2.5,5*,0,3,"*2-5,12/- (17-12)",B,14,D,D,2,410,,,,,308,408,,"cf-4(+1)e8 c-4(+1)e10,T-11(pb-5) lf-3e8"
ARN,,"Vogt,S*",72,16,13,0,13,0,0,w*,0,8,26,12,11.3,23.3,28.5,3,w*,0,8,-/- (---),E,10,D,C,2,401,521,,,,,,,"c-4(+2)e1,T-1(pb-0) 1b-5e21"
ARN,,"Walker,C",218,16,15,17.5,35.5,35.1,2.3,3,+2,17,22,5,26.5,34.5,45,1.8,2,+2,19,6/11 (13-5),D,12,D,C,1,,211,,,,,,,1b-2e11
ARN,,"Young,A",26,39,19,6.4,45.4,19.3,3.3,6*,0,0,28,30,5.3,55.3,10.6,0,w*,0,0,-/- (---),E,13,D,D,1,,,411,565,,425,,,3b-5e65 2b-4e11 lf-4(+2)e25
ATN,,"Acuna,R",160,25,42,8.5,55.5,19.8,1.5,3*,0,7,36,27,14.3,46.3,46.3,8.9,8*,0,8,"*4,5/- (19-12)",A,17,D,D,2,,,,,,,303,303,cf-3(-3)e3 rf-3e3
ATN,,"Adams,M*",49,40,0,5.1,5.1,11.3,2,4,+4,34,52,0,7,7,17,2.7,5,+4,28,-/- (---),E,10,D,D,2,,412,,,,,,,1b-4e12
ATN,,"Albies,O+",118,28,0,12.1,14.1,13.6,0,w,+8,0,28,0,25.8,27.8,47.8,6.6,8,+8,0,"*5,6/- (17-12)",B,16,D,B,3,,,111,,,,,,2b-1e11
ATN,,"Camargo,J+",120,38,0,13.1,15.1,24,1,2,-2,5,34,3,11.1,16.1,22.7,1.6,3*,0,3,-/- (---),E,11,D,D,1,,,308,308,,,,,2b-3e8 3b-3e8
ATN,,"D'Arnaud,T",165,42,2,26.3,31.3,26.3,0,w,-2,22,30,12,30.7,45.7,53.3,5.4,8,-2,12,2/- (20-6),E,10,D,D,2,401,,,,,,,,"c-4(+2)e1,T-14(pb-5)"
ATN,,"Duvall,A",190,31,0,23.1,26.1,48.1,4.8,8,-6,6,29,9,10.9,22.9,40.9,9.8,8,0,6,-/- (---),E,12,D,D,1,,,,,,207,,307,lf-2(-1)e7 rf-3e7
ATN,,"Flowers,T",69,54,21,4.8,34.8,9.3,0,w*,0,8,61,9,16.6,34.6,39.4,3.4,w*,0,6,-/- (---),E,8,D,D,2,301,,,,,,,,"c-3(+2)e1,T-7(pb-1)"
ATN,,"Freeman,F*",214,17,19,24.1,46.2,30.9,0.4,0,-7,15,3,22,34,59,69.8,6.4,8,-6,10,2/- (20-6),D,13,D,C,0,,103,,,,,,,1b-1e3
